work_type,title,byline,release_date,month,day,extra,source_url
birth,Diamanda Galás,"American singer-songwriter, musician, and visual artist (born 1955)",1955-08-29,08,29,,https://en.wikipedia.org/wiki/Diamanda_Gal%C3%A1s
birth,Michael P. Kube-McDowell,American writer (born 1954),1954-08-29,08,29,,https://en.wikipedia.org/wiki/Michael_P._Kube-McDowell
birth,David Boaz,American libertarian author and editor (1953–2024),1953-08-29,08,29,,https://en.wikipedia.org/wiki/David_Boaz
birth,Karen Hesse,American writer,1952-08-29,08,29,,https://en.wikipedia.org/wiki/Karen_Hesse
birth,Don Schlitz,American country singer-songwriter (1952–2026),1952-08-29,08,29,,https://en.wikipedia.org/wiki/Don_Schlitz
birth,Deborah Van Valkenburgh,American actress,1952-08-29,08,29,,https://en.wikipedia.org/wiki/Deborah_Van_Valkenburgh
birth,Geoff Whitehorn,English guitarist and singer-songwriter (born 1951),1951-08-29,08,29,,https://en.wikipedia.org/wiki/Geoff_Whitehorn
birth,Frank Henenlotter,American film director (born 1950),1950-08-29,08,29,,https://en.wikipedia.org/wiki/Frank_Henenlotter
birth,Aki Yashiro,Musical artist,1950-08-29,08,29,,https://en.wikipedia.org/wiki/Aki_Yashiro
birth,Chris Copping,British musician,1945-08-29,08,29,,https://en.wikipedia.org/wiki/Chris_Copping
birth,Dick Halligan,American musician and composer (1943–2022),1943-08-29,08,29,,https://en.wikipedia.org/wiki/Dick_Halligan
birth,Gottfried John,German actor and voice actor,1942-08-29,08,29,,https://en.wikipedia.org/wiki/Gottfried_John
birth,Sterling Morrison,American musician (1942–1995),1942-08-29,08,29,,https://en.wikipedia.org/wiki/Sterling_Morrison
birth,Joel Schumacher,American film director (1939–2020),1939-08-29,08,29,,https://en.wikipedia.org/wiki/Joel_Schumacher
birth,Elliott Gould,American actor (born 1938),1938-08-29,08,29,,https://en.wikipedia.org/wiki/Elliott_Gould
birth,Angela Huth,English novelist and journalist,1938-08-29,08,29,,https://en.wikipedia.org/wiki/Angela_Huth
birth,Dimitris Papamichael,Greek actor and director,1934-08-29,08,29,,https://en.wikipedia.org/wiki/Dimitris_Papamichael
birth,Sorel Etrog,"Romanian born Israeli-Canadian artist, writer and sculptor (1933–2014)",1933-08-29,08,29,,https://en.wikipedia.org/wiki/Sorel_Etrog
birth,Stelios Kazantzidis,Greek singer (1931–2001),1931-08-29,08,29,,https://en.wikipedia.org/wiki/Stelios_Kazantzidis
birth,Thom Gunn,English poet (1929–2004),1929-08-29,08,29,,https://en.wikipedia.org/wiki/Thom_Gunn
birth,Herbert Meier,Swiss writer and translator (1928–2018),1928-08-29,08,29,,https://en.wikipedia.org/wiki/Herbert_Meier
birth,Jimmy C. Newman,American country music singer-songwriter (1927–2014),1927-08-29,08,29,,https://en.wikipedia.org/wiki/Jimmy_C._Newman
birth,René Depestre,Haitian-French poet (born 1926),1926-08-29,08,29,,https://en.wikipedia.org/wiki/Ren%C3%A9_Depestre
birth,Betty Lynn,American actress (1926–2021),1926-08-29,08,29,,https://en.wikipedia.org/wiki/Betty_Lynn
birth,Dinah Washington,"American singer, songwriter, pianist (1924–1963)",1924-08-29,08,29,,https://en.wikipedia.org/wiki/Dinah_Washington
birth,Richard Attenborough,English actor and film director (1923–2014),1923-08-29,08,29,,https://en.wikipedia.org/wiki/Richard_Attenborough
birth,Arthur Anderson (actor),American actor (1922–2016),1922-08-29,08,29,,https://en.wikipedia.org/wiki/Arthur_Anderson_(actor)
birth,John Edward Williams,American writer (1922–1994),1922-08-29,08,29,,https://en.wikipedia.org/wiki/John_Edward_Williams
birth,Charlie Parker,American jazz saxophonist (1920–1955),1920-08-29,08,29,,https://en.wikipedia.org/wiki/Charlie_Parker
birth,Isabel Sanford,American actress (1917–2004),1917-08-29,08,29,,https://en.wikipedia.org/wiki/Isabel_Sanford
birth,Luther Davis,American dramatist (1916–2008),1916-08-29,08,29,,https://en.wikipedia.org/wiki/Luther_Davis
birth,Ingrid Bergman,Swedish actress (1915–1982),1915-08-29,08,29,,https://en.wikipedia.org/wiki/Ingrid_Bergman
birth,Barry Sullivan (American actor),American actor (1912–1994),1912-08-29,08,29,,https://en.wikipedia.org/wiki/Barry_Sullivan_(American_actor)
birth,Preston Sturges,American film director and screenwriter,1898-08-29,08,29,,https://en.wikipedia.org/wiki/Preston_Sturges
birth,Han Yong-un,Korean writer (1879–1944),1879-08-29,08,29,,https://en.wikipedia.org/wiki/Han_Yong-un
birth,Leonardo De Lorenzo,Musical artist,1875-08-29,08,29,,https://en.wikipedia.org/wiki/Leonardo_De_Lorenzo
birth,Maurice Maeterlinck,Belgian playwright and essayist (1862–1949),1862-08-29,08,29,,https://en.wikipedia.org/wiki/Maurice_Maeterlinck
birth,Byron G. Harlan,American singer,1861-08-29,08,29,,https://en.wikipedia.org/wiki/Byron_G._Harlan
birth,Edward Carpenter,English poet and academic (1844–1929),1844-08-29,08,29,,https://en.wikipedia.org/wiki/Edward_Carpenter
birth,Oliver Wendell Holmes Sr.,"American poet, essayist, physician (1809–1894)",1809-08-29,08,29,,https://en.wikipedia.org/wiki/Oliver_Wendell_Holmes_Sr.
birth,Charles Grandison Finney,American minister and writer (1792–1875),1792-08-29,08,29,,https://en.wikipedia.org/wiki/Charles_Grandison_Finney
birth,Jean-Auguste-Dominique Ingres,French painter (1780–1867),1780-08-29,08,29,,https://en.wikipedia.org/wiki/Jean-Auguste-Dominique_Ingres
birth,Janus Pannonius,Croatian-Hungarian poet,1434-08-29,08,29,,https://en.wikipedia.org/wiki/Janus_Pannonius
birth,Trevor Jackson (performer),American actor and singer (born 1996),1996-08-30,08,30,,https://en.wikipedia.org/wiki/Trevor_Jackson_(performer)
birth,Hur Young-ji,South Korean singer (born 1994),1994-08-30,08,30,,https://en.wikipedia.org/wiki/Hur_Young-ji
birth,Kwon So-hyun,South Korean actress (born 1994),1994-08-30,08,30,,https://en.wikipedia.org/wiki/Kwon_So-hyun
birth,Jessica Henwick,British actress (born 1992),1992-08-30,08,30,,https://en.wikipedia.org/wiki/Jessica_Henwick
birth,Bebe Rexha,American singer (born 1989),1989-08-30,08,30,,https://en.wikipedia.org/wiki/Bebe_Rexha
birth,Johanna Braddy,American actress,1987-08-30,08,30,,https://en.wikipedia.org/wiki/Johanna_Braddy
birth,Tania Foster,Musical artist,1987-08-30,08,30,,https://en.wikipedia.org/wiki/Tania_Foster
birth,Theo Hutchcraft,English musician (born 1986),1986-08-30,08,30,,https://en.wikipedia.org/wiki/Theo_Hutchcraft
birth,Ryan Ross,American guitarist (born 1986),1986-08-30,08,30,,https://en.wikipedia.org/wiki/Ryan_Ross
birth,Joe Inoue,Musical artist,1985-08-30,08,30,,https://en.wikipedia.org/wiki/Joe_Inoue
birth,Holly Weston,English actress,1985-08-30,08,30,,https://en.wikipedia.org/wiki/Holly_Weston
birth,Michael Grant Terry,American actor (born 1983),1984-08-30,08,30,,https://en.wikipedia.org/wiki/Michael_Grant_Terry
birth,Jun Matsumoto,"Japanese singer, actor, radio host (born 1983)",1983-08-30,08,30,,https://en.wikipedia.org/wiki/Jun_Matsumoto
birth,Germán Legarreta,Puerto Rican actor,1981-08-30,08,30,,https://en.wikipedia.org/wiki/Germ%C3%A1n_Legarreta
birth,Leon Lopez,British actor and director,1979-08-30,08,30,,https://en.wikipedia.org/wiki/Leon_Lopez
birth,Raúl Castillo (actor),American actor and playwright (born 1977),1977-08-30,08,30,,https://en.wikipedia.org/wiki/Ra%C3%BAl_Castillo_(actor)
birth,Michael Gladis,American actor (born 1977),1977-08-30,08,30,,https://en.wikipedia.org/wiki/Michael_Gladis
birth,Cameron Diaz,American actress (born 1972),1972-08-30,08,30,,https://en.wikipedia.org/wiki/Cameron_Diaz
birth,Lars Frederiksen,American punk rock musician (born 1971),1971-08-30,08,30,,https://en.wikipedia.org/wiki/Lars_Frederiksen
birth,Michael Wong (singer),Musical artist,1970-08-30,08,30,,https://en.wikipedia.org/wiki/Michael_Wong_(singer)
birth,Dimitris Sgouros,Musical artist,1969-08-30,08,30,,https://en.wikipedia.org/wiki/Dimitris_Sgouros
birth,Diran Adebayo,"British novelist, cultural critic and academic",1968-08-30,08,30,,https://en.wikipedia.org/wiki/Diran_Adebayo
birth,Peter Cunnah,British musician (born 1966),1966-08-30,08,30,,https://en.wikipedia.org/wiki/Peter_Cunnah
birth,Michael Michele,American actress (born 1966),1966-08-30,08,30,,https://en.wikipedia.org/wiki/Michael_Michele
birth,Dave Brockie,Canadian-American musician (1963–2014),1963-08-30,08,30,,https://en.wikipedia.org/wiki/Dave_Brockie
birth,Michael Chiklis,American actor (born 1963),1963-08-30,08,30,,https://en.wikipedia.org/wiki/Michael_Chiklis
birth,Guy A. Lepage,"Canadian comedian, actor, talk show host, and producer (born 1960)",1960-08-30,08,30,,https://en.wikipedia.org/wiki/Guy_A._Lepage
birth,Gerald Albright,American jazz saxophonist,1957-08-30,08,30,,https://en.wikipedia.org/wiki/Gerald_Albright
birth,Frank Conniff,American actor (born 1956),1956-08-30,08,30,,https://en.wikipedia.org/wiki/Frank_Conniff
birth,Jamie Moses,English singer and guitarist (born 1955),1955-08-30,08,30,,https://en.wikipedia.org/wiki/Jamie_Moses
birth,Martin Jackson,British drummer (born 1955),1955-08-30,08,30,,https://en.wikipedia.org/wiki/Martin_Jackson
birth,David Paymer,American actor and director (born 1954),1954-08-30,08,30,,https://en.wikipedia.org/wiki/David_Paymer
birth,Horace Panter,Musical artist,1953-08-30,08,30,,https://en.wikipedia.org/wiki/Horace_Panter
birth,Simon Bainbridge,British composer (1952–2021),1952-08-30,08,30,,https://en.wikipedia.org/wiki/Simon_Bainbridge
birth,Timothy Bottoms,American actor and film producer,1951-08-30,08,30,,https://en.wikipedia.org/wiki/Timothy_Bottoms
birth,Jim Paredes,Filipino musician (born 1951),1951-08-30,08,30,,https://en.wikipedia.org/wiki/Jim_Paredes
birth,Antony Gormley,British sculptor (born 1950),1950-08-30,08,30,,https://en.wikipedia.org/wiki/Antony_Gormley
birth,Dana Rosemary Scallon,Irish singer and politician (born 1950),1950-08-30,08,30,,https://en.wikipedia.org/wiki/Dana_Rosemary_Scallon
birth,Lewis Black,American comedian and actor (born 1948),1948-08-30,08,30,,https://en.wikipedia.org/wiki/Lewis_Black
birth,Victor Skumin,"Russian scientist, writer, philosopher",1948-08-30,08,30,,https://en.wikipedia.org/wiki/Victor_Skumin
birth,Peggy Lipton,American actress (1946–2019),1946-08-30,08,30,,https://en.wikipedia.org/wiki/Peggy_Lipton
birth,Freek de Jonge,Dutch cabaret performer and writer (born 1944),1944-08-30,08,30,,https://en.wikipedia.org/wiki/Freek_de_Jonge
